SSIC,UEN,firm_type,ownership_type,exp_total_rnd,no_sc_researchers,no_pr_researchers,no_fc_researchers,no_phd_researchers,no_masters_researchers,no_bachelors_researchers,no_nondegree_researchers,no_postgrad_researchers
S2,2455,LLC,Public RI,3384.6,237,206,157,121,376,237,114,381
S1,2456,LLC,Private,4358.108,1002,333,211,557,727,545,169,245
S3,2457,MNC,Gov,3641.957,220,521,394,521,537,198,62,313
S3,2458,MNC,IHL,4094.838,64,424,320,793,124,72,509,340
S1,2459,MNC,Private,3493.428,413,252,466,233,278,185,128,254
S2,2460,MNC,IHL,1435.041,591,282,376,335,218,327,259,189
S3,2461,SME,Public RI,4300.004,310,52,121,49,149,185,101,635
S3,2462,MNC,Gov,2309.168,257,251,674,377,1112,125,639,399
S1,2463,MNC,Private,3547.193,486,291,83,69,291,158,241,120
S2,2464,MNC,IHL,2659.33,120,88,95,299,222,348,85,236
S1,2465,SME,Gov,3957.148,578,247,277,223,117,363,258,160
S3,2466,MNC,Public RI,2628.231,248,758,583,207,121,72,363,166
S3,2467,MNC,Gov,2897.16,196,187,35,69,329,207,88,82
S2,2468,MNC,IHL,2507.973,375,195,377,444,269,55,458,56
S3,2469,LLC,Gov,2011.956,360,313,357,451,572,502,601,164
S2,2470,SME,Private,1846.432,509,64,75,324,438,206,100,280
S2,2471,SME,IHL,2540.077,353,545,482,414,345,165,688,331
S3,2472,MNC,Private,2559.505,238,517,82,391,50,389,109,411
S2,2473,MNC,Private,2799.055,465,350,170,382,290,415,68,199
S2,2474,SME,Private,3709.942,505,450,14,1201,123,32,124,458
S3,2475,SME,Gov,3210.295,433,338,193,771,113,303,1214,508
S1,2476,SME,IHL,2417.269,345,171,983,545,657,32,249,836
S2,2477,MNC,IHL,1842.864,138,276,314,99,676,827,341,58
S2,2478,SME,Public RI,3246.657,150,93,88,274,608,430,145,194
S2,2479,LLC,Gov,2379.577,64,236,329,268,104,47,78,123
S1,2480,MNC,IHL,2961.062,295,169,50,223,249,326,120,535
S3,2481,MNC,Gov,1909.68,313,506,127,534,117,233,324,222
S2,2482,SME,IHL,4151.727,202,64,573,732,138,210,320,184
S1,2483,MNC,Private,3263.761,555,19,329,112,294,271,587,367
S1,2484,SME,Public RI,1578.834,158,186,746,133,643,541,456,319
S1,2485,MNC,Gov,3645.079,1043,839,323,327,309,64,305,221
S2,2486,SME,Private,3589.357,333,492,387,169,126,219,142,229
S1,2487,LLC,IHL,2750.68,53,119,783,632,284,254,222,323
S1,2488,MNC,Gov,5096.543,685,310,246,55,186,331,13,265
S1,2489,LLC,IHL,2011.895,965,55,198,166,345,260,110,293
S1,2490,SME,IHL,4383.832,34,263,22,713,359,859,163,497
S2,2491,MNC,Gov,3907.818,194,151,647,155,198,39,417,341
S1,2492,SME,Gov,3549.019,472,75,177,189,148,141,267,80
S2,2493,MNC,IHL,2921.254,186,153,159,97,767,357,228,185
S1,2494,MNC,IHL,3749.007,373,760,508,440,362,395,148,84
S3,2495,MNC,Public RI,2602.889,88,139,339,196,291,369,65,570
S1,2496,SME,Gov,2694.956,109,61,210,306,393,215,293,581
S2,2497,MNC,Public RI,2747.456,303,441,247,354,226,165,377,186
S3,2498,SME,Gov,7284.231,206,582,446,354,549,171,265,54
S3,2499,LLC,IHL,2502.809,251,540,181,4,198,383,404,392
S3,2500,LLC,Private,4569.879,76,54,170,233,381,85,46,99
S3,2501,LLC,Gov,2982.995,167,414,372,427,68,867,268,245
S2,2502,SME,Gov,1616.894,582,1194,237,111,411,298,1624,119
S3,2503,LLC,Public RI,3726.117,434,589,104,142,78,414,360,625
S3,2504,MNC,Gov,1870.408,211,919,360,7,107,252,468,153
S3,2505,SME,Gov,4710.248,580,324,588,397,228,110,69,218
S2,2506,LLC,IHL,1999.754,143,116,316,327,844,331,94,346
S3,2507,MNC,Private,5179.851,253,695,312,202,407,223,71,263
S2,2508,SME,IHL,2565.104,231,105,118,19,98,180,282,144
S1,2509,SME,Gov,3257.909,387,209,424,189,130,73,271,79
S3,2510,LLC,Gov,5346.177,94,700,447,20,61,166,138,217
S1,2511,MNC,Public RI,2736.948,294,160,161,438,232,266,440,92
S3,2512,MNC,Private,1752.819,254,120,356,435,500,660,701,63
S2,2513,LLC,Public RI,3664.336,229,59,175,88,709,38,180,292
S2,2514,LLC,Public RI,1871.348,389,132,210,561,38,117,217,347
S2,2515,MNC,Gov,3453.667,749,13,42,420,389,411,242,422
S3,2516,LLC,Private,3705.324,635,47,313,348,257,292,115,139
S3,2517,MNC,Private,2876.474,381,515,529,260,260,107,50,243
S1,2518,MNC,Gov,2779.622,637,131,131,68,415,143,181,503
S1,2519,LLC,Public RI,3647.108,512,165,87,386,567,311,342,213
S3,2520,MNC,Private,1197.637,332,703,172,132,632,317,249,398
S3,2521,MNC,Gov,4833.657,565,69,206,240,180,509,494,106
S1,2522,LLC,Gov,2519.131,513,400,113,102,229,365,173,78
S2,2523,LLC,IHL,4083.403,93,547,81,269,372,24,274,393
S1,2524,SME,Private,3858.663,112,32,489,87,169,91,162,898
S2,2525,MNC,Public RI,4245.697,104,301,139,362,430,725,308,127
S1,2526,SME,IHL,1047.665,134,289,129,207,203,156,605,568
S2,2527,LLC,Gov,1743.069,540,250,46,226,487,142,311,687
S3,2528,LLC,Gov,2554.372,185,186,427,724,186,487,510,464
S2,2529,SME,Public RI,1410.206,596,240,257,299,78,237,74,737
S2,2530,MNC,Public RI,4653.476,330,188,307,212,459,590,58,798
S3,2531,SME,Public RI,3996.817,112,483,116,591,297,643,426,351
S3,2532,LLC,IHL,2976.446,261,54,499,495,414,366,581,353
S1,2533,LLC,Public RI,2811.213,183,165,320,156,217,158,287,366
S3,2534,LLC,Private,2545.366,150,445,204,460,346,191,245,523
S1,2535,LLC,Public RI,2372.984,275,371,342,251,241,394,573,24
S2,2536,MNC,Gov,2905.489,46,890,165,355,365,257,369,198
S2,2537,MNC,Private,3455.842,530,446,426,149,84,92,153,379
S3,2538,LLC,Public RI,3181.649,482,484,266,421,174,306,241,633
S3,2539,MNC,IHL,2267.917,538,413,700,626,117,325,706,296
S2,2540,MNC,Gov,4328.429,307,333,406,592,186,161,478,127
S1,2541,SME,Private,3698.973,440,237,265,168,74,196,164,655
S1,2542,MNC,Private,1649.485,446,52,107,211,278,110,300,166
S2,2543,MNC,IHL,1609.051,158,492,222,170,354,304,213,382
S3,2544,LLC,IHL,5169.841,385,68,490,333,396,348,278,166
S3,2545,LLC,Public RI,2012.67,533,197,494,751,185,150,294,16
S1,2546,MNC,Gov,2737.11,671,322,187,315,169,535,204,61
S2,2547,LLC,Public RI,2741.444,749,430,148,344,584,571,220,415
S1,2548,SME,Gov,2942.124,249,91,258,136,151,192,641,705
S2,2549,LLC,Private,1979.834,888,163,283,205,659,93,168,557
S3,2550,LLC,Public RI,2873.4,303,88,464,313,273,430,75,88
S3,2551,LLC,IHL,2563.031,58,568,291,83,404,332,344,238
S1,2552,LLC,Private,3339.084,473,101,144,222,157,472,280,123
S1,2553,SME,Public RI,2919.325,630,208,166,98,404,65,566,412
S2,2554,SME,Private,1856.323,182,131,472,448,143,92,140,19
S2,2555,MNC,Gov,3472.088,401,562,404,313,212,988,303,504
S1,2556,MNC,Public RI,3212.847,409,41,195,427,771,218,218,175
S3,2557,SME,Public RI,3001.173,508,89,78,392,298,134,477,97
S1,2558,SME,Private,2573.753,311,245,107,284,200,88,254,377
S2,2559,SME,Private,2760.034,414,451,293,145,327,434,59,514
S3,2560,LLC,Gov,2533.259,304,518,401,216,62,310,334,236
S2,2561,LLC,IHL,2954.198,122,131,308,272,284,309,227,504
S3,2562,LLC,IHL,2491.38,450,116,658,820,53,124,426,147
S2,2563,LLC,IHL,3351.777,501,235,149,82,473,192,71,239
S3,2564,SME,Public RI,3731.515,78,95,129,717,253,417,21,174
S1,2565,MNC,Public RI,3695.58,182,105,428,211,520,334,95,51
S2,2566,LLC,Gov,5747.903,94,241,184,676,411,252,182,42
S2,2567,MNC,Private,1854.298,599,259,287,160,162,308,72,184
S2,2568,LLC,Private,2892.745,439,132,58,698,283,79,120,357
S2,2569,MNC,Private,2878.366,134,171,799,224,594,570,289,331
S2,2570,LLC,IHL,2706.845,330,89,165,452,42,600,226,125
S2,2571,SME,Public RI,3284.267,719,118,597,1303,85,383,566,190
S1,2572,LLC,Private,3276.437,428,473,664,605,323,514,196,238
S1,2573,MNC,IHL,2271.697,234,159,197,258,51,115,126,54
S3,2574,LLC,IHL,3366.573,386,101,201,672,131,131,710,261
S1,2575,MNC,Private,4079.231,469,394,756,60,255,81,303,522
S1,2576,SME,IHL,2667.507,290,301,132,548,131,133,196,113
S3,2577,LLC,Gov,2751.355,85,287,362,141,428,190,447,244
S1,2578,SME,Gov,2759.111,279,69,348,192,170,372,252,273
S2,2579,LLC,Private,3309.024,117,329,148,27,257,774,127,914
S3,2580,LLC,Private,2098.876,162,116,314,627,338,235,1086,335
S2,2581,SME,Private,1908.989,422,161,126,408,272,167,488,292
S3,2582,LLC,Gov,1782.539,182,236,167,900,245,196,109,118
S1,2583,SME,Private,3674.444,250,262,35,437,147,261,572,474
S3,2584,LLC,Private,2635.419,88,860,319,595,166,252,668,219
S2,2585,MNC,IHL,3143.589,216,253,169,344,79,438,200,447
S3,2586,SME,Private,2101.776,446,555,492,250,517,121,230,50
S2,2587,MNC,Private,6901.171,28,52,565,33,494,86,293,134
S3,2588,SME,Gov,2940.716,178,382,555,273,46,526,282,157
S2,2589,SME,Private,3696.275,107,172,142,41,849,256,528,153
S1,2590,MNC,Private,3450.673,286,40,233,441,129,73,385,514
S3,2591,LLC,Private,1675.848,743,132,96,89,146,142,96,98
S3,2592,LLC,IHL,4495.547,79,150,323,264,191,212,148,282
S3,2593,MNC,Gov,2913.328,395,755,238,248,206,577,289,94
S2,2594,LLC,Gov,2551.94,216,273,200,331,122,392,560,239
S3,2595,LLC,Gov,2963.221,175,196,11,207,221,480,370,289
S1,2596,MNC,Public RI,2078.34,21,499,221,287,531,279,296,253
S3,2597,SME,Gov,2576.052,208,152,635,287,322,131,118,414
S3,2598,MNC,IHL,2275.089,500,15,489,504,556,255,348,145
S2,2599,MNC,Gov,2592.179,527,125,299,42,238,666,224,245
S2,2600,SME,Private,3575.852,115,76,121,129,678,115,14,110
S3,2601,SME,Private,2367.218,91,349,203,71,261,401,491,143
S3,2602,MNC,Public RI,2253.83,277,352,129,211,150,38,208,349
S1,2603,LLC,Private,1761.95,392,410,212,118,516,158,40,223
S2,2604,LLC,Private,3412.38,100,115,427,908,505,340,468,303
S3,2605,SME,Public RI,3024.717,181,236,358,70,183,487,149,105
S3,2606,MNC,IHL,2665.722,70,251,39,1468,392,590,151,130
S3,2607,LLC,Public RI,4192.026,553,403,101,263,365,235,50,328
S1,2608,MNC,IHL,2560.863,36,226,526,53,209,392,180,94
S2,2609,MNC,Public RI,2513.045,59,185,396,78,713,431,629,1140
S3,2610,LLC,Gov,3169.761,210,644,239,89,1070,81,385,236
S3,2611,SME,IHL,2659.555,394,359,253,658,233,87,561,171
S1,2612,LLC,Gov,2456.642,235,349,366,542,27,89,30,856
S3,2613,LLC,Private,3001.854,225,271,163,144,245,90,613,351
S3,2614,MNC,Public RI,2374.947,164,286,393,100,802,32,102,197
S2,2615,MNC,IHL,4977.888,476,204,100,191,387,206,140,454
S1,2616,LLC,Gov,3002.655,286,201,260,206,685,50,48,100
S3,2617,MNC,Gov,4057.751,661,81,401,172,374,110,64,230
S1,2618,MNC,IHL,5210.288,19,339,270,123,250,308,339,383
S1,2619,MNC,Public RI,2602.022,257,645,41,123,91,327,90,402
S1,2620,SME,Gov,3771.031,444,199,209,268,425,267,140,138
S2,2621,LLC,Gov,2823.281,323,79,104,106,111,116,231,195
S2,2622,SME,IHL,3619.24,407,250,393,254,6,800,300,462
S1,2623,MNC,Private,4072.204,376,221,51,147,244,428,148,61
S2,2624,MNC,Public RI,2104.488,58,176,483,183,687,208,162,190
S1,2625,LLC,IHL,3206.471,277,63,334,171,248,101,472,153
S3,2626,MNC,Gov,3225.396,281,278,176,668,597,73,345,781
S3,2627,LLC,Private,3500.685,255,251,203,387,93,387,939,250
S3,2628,MNC,Private,2958.058,118,114,294,193,221,518,32,421
S3,2629,MNC,Gov,3502.222,860,371,709,498,40,491,382,226
S2,2630,SME,Gov,2628.031,52,112,145,458,292,27,54,465
S2,2631,MNC,Private,4636.028,271,123,82,176,322,666,484,58
S2,2632,MNC,Private,2723.352,163,137,102,456,311,179,264,297
S2,2633,SME,Public RI,3878.249,284,184,190,34,289,147,208,135
S2,2634,SME,Private,3270.551,622,417,48,335,307,212,259,34
S3,2635,SME,IHL,2497.724,251,380,255,816,568,364,556,477
S1,2636,SME,IHL,3031.95,198,335,194,114,60,90,168,205
S2,2637,LLC,Public RI,2872.889,83,172,539,110,262,215,118,111
S3,2638,SME,Public RI,2006.146,173,44,517,327,160,751,225,670
S1,2639,LLC,Public RI,1984.28,75,126,380,310,116,481,112,971
S1,2640,LLC,Gov,2072.551,412,268,74,225,823,256,258,434
S1,2641,MNC,Private,2114.49,314,72,257,439,35,512,492,102
S2,2642,LLC,IHL,4752.828,103,184,292,587,178,100,423,53
S2,2643,LLC,IHL,1680.764,164,374,61,119,426,110,729,196
S1,2644,MNC,Private,3668.665,148,212,271,217,202,262,228,142
S3,2645,LLC,Public RI,3014.858,62,215,246,156,920,236,199,265
S2,2646,SME,Private,3253.679,129,182,116,123,931,331,261,130
S2,2647,SME,Gov,3046.584,313,124,451,216,310,516,354,500
S3,2648,LLC,IHL,2838.676,458,104,552,558,296,397,1131,351
S1,2649,LLC,Gov,3308.8,669,176,195,38,334,383,147,266
S1,2650,MNC,Public RI,2151.747,240,220,40,298,620,328,513,770
S1,2651,SME,Private,3537.292,35,45,555,227,73,214,126,86
S2,2652,MNC,Gov,2583.381,175,270,273,161,368,380,33,337
S2,2653,LLC,Private,3092.031,58,344,675,354,403,100,297,139
S2,2654,MNC,IHL,2738.134,619,316,541,119,122,87,450,421
S1,2655,LLC,Gov,4347.462,354,128,120,83,817,52,401,628
S1,2656,LLC,Gov,2826.304,126,237,213,80,549,123,286,451
S2,2657,MNC,IHL,3341.163,443,271,251,410,352,111,211,740
S3,2658,LLC,Gov,982.613,226,674,863,285,860,343,321,720
S2,2659,SME,Private,4524.598,575,26,179,436,101,70,179,123
S3,2660,MNC,Public RI,3034.681,191,217,344,148,141,210,173,263
S1,2661,SME,Gov,4191.833,131,63,216,121,35,831,365,201
S3,2662,LLC,IHL,3876.494,281,96,487,455,288,101,102,366
S2,2663,LLC,Public RI,2629.252,860,409,463,443,126,511,285,347
S1,2664,LLC,Gov,4256.94,241,404,179,238,328,95,151,1264
S2,2665,LLC,IHL,3618.754,406,322,572,329,361,810,316,382
S3,2666,MNC,IHL,3243.129,166,389,125,443,163,973,301,286
S1,2667,MNC,Gov,2901.589,867,53,196,216,205,102,187,560
S1,2668,MNC,Gov,1943.011,302,542,228,205,72,498,130,465
S2,2669,MNC,IHL,4182.213,231,83,143,84,376,365,14,76
S1,2670,SME,IHL,2758.878,495,356,127,158,433,97,337,404
S2,2671,SME,Public RI,2250.888,131,75,154,178,140,251,246,107
S2,2672,SME,Private,2520.371,230,168,12,233,184,324,899,162
S3,2673,LLC,Public RI,3507.459,183,51,69,90,60,98,217,127
S3,2674,SME,IHL,1971.294,264,364,552,122,1313,197,154,49
S3,2675,LLC,IHL,2893.076,689,349,413,555,709,126,486,57
S1,2676,MNC,Gov,1786.829,140,198,472,136,342,205,516,591
S2,2677,LLC,Gov,1815.478,327,208,160,228,97,230,771,267
S2,2678,SME,IHL,2666.137,439,178,147,317,263,145,498,300
S2,2679,SME,IHL,3216.765,188,376,399,316,78,81,261,97
S2,2680,SME,Public RI,3064.708,317,575,376,311,388,604,108,292
S1,2681,LLC,Public RI,3131.244,266,32,423,67,102,599,120,264
S2,2682,LLC,IHL,2326.384,502,196,288,52,427,140,365,224
S2,2683,SME,Public RI,5279.107,151,119,517,59,127,252,677,166
S2,2684,MNC,Public RI,3112.294,265,140,386,318,779,522,252,186
S1,2685,LLC,Private,2665.806,414,319,149,292,190,270,110,332
S1,2686,MNC,IHL,4562.728,387,117,387,169,586,208,148,234
S2,2687,LLC,Gov,2939.324,98,347,222,493,494,497,217,187
S1,2688,MNC,Gov,2272.555,277,135,89,196,243,228,260,349
S2,2689,LLC,Private,2924.944,575,482,821,51,257,265,455,73
S3,2690,MNC,Gov,2148.576,345,302,252,389,98,499,608,524
S3,2691,LLC,Private,1800.119,263,172,458,273,463,111,93,292
S3,2692,MNC,Private,1452.353,179,300,291,181,184,99,274,233
S2,2693,MNC,Gov,2385.858,285,175,395,213,329,107,479,277
S1,2694,LLC,Public RI,3393.102,344,385,86,459,195,10,331,401
S3,2695,SME,Private,3352.013,228,314,214,208,127,203,283,216
S1,2696,LLC,Private,3331.195,137,162,242,426,186,658,238,357
S2,2697,SME,Gov,2308.316,546,301,61,321,522,618,44,36
S2,2698,LLC,Gov,2591.748,1532,369,382,76,432,62,112,342
S1,2699,LLC,Gov,2222.965,285,427,200,126,257,210,80,170
S3,2700,MNC,Public RI,2993.765,85,461,223,122,48,245,76,436
S3,2701,LLC,Gov,2871.966,206,238,282,528,135,101,423,279
S2,2702,SME,Public RI,2956.034,480,268,616,128,132,638,314,249
S2,2703,LLC,Gov,4983.218,170,95,295,327,572,225,349,299
S1,2704,LLC,Gov,4068.391,148,93,661,123,216,86,46,16
S3,2705,SME,Gov,2551.121,229,353,171,214,404,264,404,217
S1,2706,SME,Private,4442.468,113,712,109,159,962,279,39,53
S1,2707,SME,IHL,2859.769,17,413,655,179,515,172,134,276
S2,2708,MNC,IHL,3236.555,135,236,211,279,386,278,378,134
S1,2709,LLC,IHL,2234.943,323,465,96,259,487,35,63,555
S3,2710,MNC,Public RI,3080.221,327,177,336,68,470,75,386,1039
S3,2711,LLC,IHL,3402.162,70,71,125,443,153,379,445,481
S2,2712,SME,Private,2220.163,73,561,91,188,119,71,478,478
S1,2713,MNC,IHL,3145.527,606,219,463,629,134,864,91,343
S2,2714,MNC,IHL,4016.467,164,159,507,514,451,1120,106,393
S2,2715,MNC,Gov,2582.658,206,576,503,471,191,133,165,461
S2,2716,MNC,IHL,1869.506,424,246,157,282,344,310,233,92
S3,2717,SME,IHL,1592.295,343,260,124,63,173,24,365,356
S3,2718,LLC,Private,2371.424,682,458,664,46,50,265,482,477
S2,2719,MNC,Private,3717.411,112,446,261,111,305,101,89,152
S3,2720,SME,Gov,3241.807,123,456,372,249,204,390,483,124
S1,2721,MNC,Private,1838.654,29,62,290,473,233,216,280,149
S3,2722,LLC,Public RI,2423.399,316,461,209,114,465,117,467,510
S1,2723,SME,Gov,3831.405,258,305,525,193,371,541,241,142
S1,2724,LLC,IHL,3815.145,459,200,231,218,633,366,191,348
S2,2725,MNC,Private,3260.766,808,130,465,335,384,173,134,124
S3,2726,SME,Gov,3763.711,285,569,184,452,275,188,14,898
S2,2727,SME,IHL,2805.67,146,205,260,340,125,147,362,234
S1,2728,LLC,Public RI,2976.199,183,741,229,207,231,102,773,818
S3,2729,LLC,Private,3179.522,181,436,474,178,197,252,452,102
S3,2730,MNC,Gov,1634.819,153,380,205,76,188,105,562,140
S3,2731,LLC,Gov,3626.768,249,401,123,177,239,392,362,325
S3,2732,SME,Public RI,4526.1,674,162,168,64,105,200,352,195
S3,2733,SME,Private,3173.735,330,628,135,621,150,289,360,312
S3,2734,SME,Gov,3444.692,80,91,470,352,283,500,78,223
S1,2735,LLC,Gov,3778.601,604,1236,624,163,260,151,195,247
S2,2736,LLC,Private,3092.507,149,166,107,64,71,224,465,268
S1,2737,MNC,Private,2440.998,419,759,621,507,284,352,318,345
S1,2738,MNC,Private,2902.134,886,93,47,250,414,946,244,179
S1,2739,MNC,Gov,2629.903,132,579,355,429,257,363,110,136
S1,2740,LLC,Public RI,2200.552,558,314,218,462,121,1025,580,426
S1,2741,SME,Public RI,2660.078,398,1281,390,502,112,98,165,222
S3,2742,LLC,Public RI,4173.786,229,577,298,406,348,236,187,282
S3,2743,MNC,Public RI,1771.125,487,42,220,210,246,47,304,481
S2,2744,LLC,Public RI,3174.589,86,268,133,182,469,641,202,488
S3,2745,MNC,Public RI,4321.537,432,299,73,45,195,250,106,360
S1,2746,LLC,IHL,4147.012,627,294,399,489,319,68,503,50
S3,2747,LLC,Private,2914.1,345,1458,435,244,260,57,339,239
S2,2748,LLC,IHL,3098.676,249,646,88,68,183,308,254,383
S1,2749,SME,Gov,4802.498,75,262,201,160,130,12,340,124
S1,2750,LLC,Public RI,2333.178,289,278,421,373,151,281,18,395
S2,2751,LLC,IHL,3674.501,48,90,371,179,78,296,85,1061
S3,2752,SME,Private,3693.108,213,294,200,46,117,647,537,520
S2,2753,SME,IHL,4124.489,330,548,434,34,337,468,266,190
S1,2754,MNC,Gov,1625.23,256,262,554,615,280,206,153,166
S1,2755,MNC,IHL,4211.249,444,256,181,423,930,563,134,321
S2,2756,LLC,IHL,3579.243,139,435,120,278,441,129,906,125
S1,2757,MNC,Public RI,2848.774,180,256,109,198,324,240,94,328
S2,2758,MNC,Public RI,2904.212,113,138,705,205,317,71,597,129
S3,2759,MNC,Public RI,2733.808,316,432,90,370,236,186,202,286
S3,2760,MNC,IHL,2618.649,639,895,137,265,498,626,206,514
S3,2761,LLC,Public RI,2264.271,391,98,504,753,890,732,902,107
S1,2762,SME,Private,4309.839,14,576,248,66,106,256,62,151
S3,2763,LLC,IHL,3600.711,24,270,343,254,333,196,200,67
S2,2764,SME,Public RI,2310.596,156,149,190,242,448,264,700,595
S2,2765,SME,Private,3297.244,289,40,390,182,248,70,112,388
S3,2766,MNC,IHL,5325.865,605,196,243,309,232,286,219,280
S1,2767,LLC,Public RI,2453.913,579,49,64,85,140,112,87,285
S1,2768,LLC,Public RI,3108.146,136,198,347,105,205,712,400,559
S2,2769,LLC,Public RI,2773.406,274,373,193,215,249,58,81,319
S3,2770,SME,IHL,2922.751,110,522,158,360,244,253,362,408
S3,2771,SME,Private,2393.191,299,300,52,143,197,200,39,137
S3,2772,LLC,Private,3679.289,130,242,903,462,90,219,277,550
S3,2773,SME,Public RI,2836.498,353,80,1196,86,145,230,96,132
S1,2774,SME,Gov,3272.963,212,259,219,510,202,602,468,147
S2,2775,MNC,Public RI,1733.388,246,273,275,194,347,36,192,261
S3,2776,LLC,Private,2967.714,279,722,307,344,297,153,433,399
S3,2777,MNC,Private,1636.882,609,194,131,118,103,128,240,144
S3,2778,SME,IHL,2388.456,179,466,672,66,265,251,68,144
S2,2779,LLC,Private,4275.803,258,452,383,456,420,345,217,350
S3,2780,LLC,Private,4025.925,369,115,475,448,188,470,215,347
S1,2781,SME,IHL,2674.089,459,197,305,247,378,45,695,74
S2,2782,LLC,Gov,3728.038,581,493,231,105,479,174,145,40
S2,2783,LLC,Private,2928.091,325,361,163,232,197,646,95,443
S3,2784,LLC,Gov,1770.453,95,93,470,716,240,4,296,458
S1,2785,LLC,Gov,2381.101,507,169,91,258,413,160,107,493
S1,2786,LLC,Public RI,4250.195,164,816,167,96,189,232,293,348
S3,2787,SME,Gov,2459.646,149,586,496,401,281,262,285,106
S3,2788,LLC,Public RI,1773.011,222,144,359,195,284,1302,519,144
S3,2789,MNC,Gov,3298.503,230,137,91,184,73,129,400,13
S2,2790,MNC,IHL,2848.508,300,294,192,66,114,742,278,133
S2,2791,LLC,Gov,3266.616,82,90,236,182,33,190,461,46
S3,2792,MNC,Private,3062.164,430,145,344,502,181,127,292,233
S2,2793,MNC,IHL,2706.395,92,404,112,277,272,174,262,137
S3,2794,LLC,Gov,3242.897,933,73,165,228,276,292,414,481
S3,2795,MNC,Gov,5636.147,545,281,401,61,245,487,428,173
S2,2796,SME,IHL,1213.48,372,42,69,305,72,271,106,161
S1,2797,MNC,IHL,2137.014,51,171,585,358,300,473,239,379
S3,2798,SME,Public RI,3435.347,122,97,221,229,123,558,151,62
S2,2799,LLC,IHL,4738.526,247,656,473,176,316,228,97,186
S1,2800,SME,IHL,4576.896,462,395,199,376,673,110,183,579
S3,2801,MNC,Private,2910.44,110,15,188,880,315,402,137,123
S2,2802,SME,IHL,2681.739,116,34,103,146,384,300,86,210
S1,2803,SME,Gov,1704.97,164,406,182,319,147,374,16,371
S1,2804,LLC,Public RI,2136.899,220,60,297,218,233,46,286,149
S1,2805,SME,Gov,3421.723,176,192,280,702,229,114,472,144
S3,2806,MNC,IHL,3348.937,193,708,387,225,36,599,131,117
S1,2807,LLC,Gov,2471.571,250,279,1038,26,474,360,174,172
S2,2808,SME,Private,3492.589,387,125,93,243,183,513,269,66
S1,2809,LLC,IHL,2090.951,152,152,402,247,155,390,419,139
S1,2810,MNC,IHL,3178.38,166,597,487,136,335,141,44,199
S3,2811,LLC,IHL,4904.111,91,257,567,172,147,608,290,166
S2,2812,LLC,Public RI,3223.27,280,42,186,299,393,220,39,937
S1,2813,SME,Private,2724.979,242,272,549,78,129,590,506,517
S2,2814,SME,IHL,3259.164,563,274,168,284,333,505,360,820
S3,2815,LLC,IHL,3134.221,320,402,411,467,502,139,151,52
S1,2816,MNC,Private,3659.499,75,474,184,518,639,508,280,1001
S2,2817,SME,Gov,4610.614,73,197,175,263,119,297,183,159
S2,2818,MNC,Gov,1201.086,548,215,51,603,37,236,229,191
S2,2819,MNC,IHL,4659.93,119,45,303,100,122,393,364,176
S2,2820,MNC,Private,2961.736,967,389,339,564,343,412,108,212
S2,2821,MNC,Gov,2596.314,246,208,52,2,315,242,178,464
S1,2822,MNC,Public RI,3613.721,358,393,295,85,171,139,445,45
S3,2823,SME,Gov,4338.993,573,758,340,304,511,92,173,328
S2,2824,MNC,Public RI,2286.295,406,322,371,684,100,175,185,438
S2,2825,MNC,Private,2385.272,162,574,214,586,354,164,125,298
S1,2826,SME,Gov,1796.188,230,160,688,283,187,212,246,243
S3,2827,MNC,IHL,4609.933,233,490,69,455,74,429,56,280
S1,2828,MNC,IHL,2881.472,308,372,101,490,260,513,79,68
S1,2829,MNC,Gov,2485.303,371,460,360,148,253,588,966,54
S3,2830,MNC,Gov,2744.52,91,459,324,259,164,145,112,287
S1,2831,SME,Gov,2338.88,394,613,132,316,311,133,268,95
S2,2832,MNC,Private,2906.917,436,347,59,436,82,199,205,220
S1,2833,MNC,Private,2821.084,321,518,336,113,36,163,135,508
S1,2834,LLC,IHL,2293.332,423,57,162,245,105,438,377,428
S3,2835,MNC,Public RI,2634.171,97,182,158,577,95,997,168,68
S1,2836,LLC,Private,1815.41,170,161,16,177,272,469,49,85
S3,2837,LLC,Private,3565.456,561,475,884,125,383,327,384,164
S2,2838,LLC,Gov,1929.548,302,184,281,503,171,1072,246,955
S3,2839,MNC,Public RI,3058.791,232,385,120,142,192,199,256,55
S1,2840,SME,Gov,3021.69,675,47,490,123,209,130,320,27
S1,2841,LLC,IHL,4502.733,178,83,470,187,767,359,46,304
S1,2842,SME,Gov,1748.219,165,451,329,179,561,434,183,1218
S2,2843,MNC,IHL,2257.725,113,327,130,253,473,94,59,109
S2,2844,MNC,Public RI,2736.68,252,422,358,321,276,259,93,161
S2,2845,LLC,Private,1897.329,562,203,155,522,81,98,240,175
S2,2846,LLC,Gov,3204.486,102,194,341,174,262,540,165,247
S2,2847,SME,IHL,2510.841,497,139,330,150,531,150,155,405
S3,2848,SME,IHL,2620.868,158,771,218,655,414,250,200,63
S2,2849,MNC,Public RI,2240.127,103,81,35,413,206,243,426,140
S1,2850,LLC,Gov,3678.208,87,254,301,320,317,45,308,143
S1,2851,SME,Private,3565.307,215,304,425,675,285,602,282,180
S3,2852,MNC,Private,4441.017,443,160,389,118,343,391,400,285
S3,2853,LLC,Private,1683.082,130,156,164,150,322,300,118,400
